,CIK,Company Name,Form Type,Date Filed,Filename,URL
1173,49826,ILLINOIS TOOL WORKS INC,10-K,2017-02-10,edgar/data/49826/0000049826-17-000022.txt,https://www.sec.gov/Archives/edgar/data/49826/000004982617000022/itw-20161231x10k.htm
1174,50863,INTEL CORP,10-K,2017-02-17,edgar/data/50863/0000050863-17-000012.txt,https://www.sec.gov/Archives/edgar/data/50863/000005086317000012/a10kdocument12312016q4.htm
1175,51143,INTERNATIONAL BUSINESS MACHINES CORP,10-K,2017-02-28,edgar/data/51143/0001047469-17-001061.txt,https://www.sec.gov/Archives/edgar/data/51143/000104746917001061/a2230222z10-k.htm
1176,51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,10-K,2017-02-28,edgar/data/51253/0000051253-17-000004.txt,https://www.sec.gov/Archives/edgar/data/51253/000005125317000004/internationalflavors10k2016.htm
1177,51434,INTERNATIONAL PAPER CO /NEW/,10-K,2017-02-22,edgar/data/51434/0000051434-17-000007.txt,https://www.sec.gov/Archives/edgar/data/51434/000005143417000007/ip10-k123116.htm
1178,51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",10-K,2017-02-21,edgar/data/51644/0000051644-17-000007.txt,https://www.sec.gov/Archives/edgar/data/51644/000005164417000007/ipg12311610k.htm
1179,5272,AMERICAN INTERNATIONAL GROUP INC,10-K,2017-02-23,edgar/data/5272/0000005272-17-000017.txt,https://www.sec.gov/Archives/edgar/data/5272/000000527217000017/maindocument001.htm
1180,54480,KANSAS CITY SOUTHERN,10-K,2017-01-27,edgar/data/54480/0000054480-17-000007.txt,https://www.sec.gov/Archives/edgar/data/54480/000005448017000007/kcs1231201610k.htm
1181,55067,KELLOGG CO,10-K,2017-02-21,edgar/data/55067/0001628280-17-001510.txt,https://www.sec.gov/Archives/edgar/data/55067/000162828017001510/k-2016q410xk.htm
1182,5513,Unum Group,10-K,2017-02-22,edgar/data/5513/0000005513-17-000018.txt,https://www.sec.gov/Archives/edgar/data/5513/000000551317000018/unm12312016-10xk.htm
1183,55785,KIMBERLY CLARK CORP,10-K,2017-02-08,edgar/data/55785/0000055785-17-000017.txt,https://www.sec.gov/Archives/edgar/data/55785/000005578517000017/kmb_2016xformx10k.htm
1184,56873,KROGER CO,10-K,2017-03-28,edgar/data/56873/0001558370-17-002198.txt,https://www.sec.gov/Archives/edgar/data/56873/000155837017002198/kr-20170128x10k.htm
1185,58492,LEGGETT & PLATT INC,10-K,2017-02-22,edgar/data/58492/0000058492-17-000004.txt,https://www.sec.gov/Archives/edgar/data/58492/000005849217000004/leg201610k.htm
1186,59478,LILLY ELI & CO,10-K,2017-02-21,edgar/data/59478/0000059478-17-000098.txt,https://www.sec.gov/Archives/edgar/data/59478/000005947817000098/lly-20161231x10xk.htm
1187,59558,LINCOLN NATIONAL CORP,10-K,2017-02-23,edgar/data/59558/0000059558-17-000012.txt,https://www.sec.gov/Archives/edgar/data/59558/000005955817000012/lnc-20161231x10k.htm
1188,60086,LOEWS CORP,10-K,2017-02-16,edgar/data/60086/0001193125-17-046521.txt,https://www.sec.gov/Archives/edgar/data/60086/000119312517046521/d284597d10k.htm
1189,6201,American Airlines Group Inc.,10-K,2017-02-22,edgar/data/6201/0001193125-17-051216.txt,https://www.sec.gov/Archives/edgar/data/6201/000119312517051216/d286458d10k.htm
1190,62709,"MARSH & MCLENNAN COMPANIES, INC.",10-K,2017-02-24,edgar/data/62709/0000062709-17-000008.txt,https://www.sec.gov/Archives/edgar/data/62709/000006270917000008/mmc1231201610k.htm
1191,62996,MASCO CORP /DE/,10-K,2017-02-09,edgar/data/62996/0000062996-17-000008.txt,https://www.sec.gov/Archives/edgar/data/62996/000006299617000008/mas_20161231x10k.htm
1192,63754,MCCORMICK & CO INC,10-K,2017-01-25,edgar/data/63754/0000063754-17-000014.txt,https://www.sec.gov/Archives/edgar/data/63754/000006375417000014/mkc-11302016x10kxq42016.htm
1193,63908,MCDONALDS CORP,10-K,2017-03-01,edgar/data/63908/0000063908-17-000017.txt,https://www.sec.gov/Archives/edgar/data/63908/000006390817000017/mcd-12312016x10k.htm
1194,64040,S&P Global Inc.,10-K,2017-02-09,edgar/data/64040/0000064040-17-000015.txt,https://www.sec.gov/Archives/edgar/data/64040/000006404017000015/spgi-20161231x10k.htm
1195,64803,CVS HEALTH Corp,10-K,2017-02-09,edgar/data/64803/0000064803-17-000006.txt,https://www.sec.gov/Archives/edgar/data/64803/000006480317000006/cvs-20161231x10k.htm
1196,65984,ENTERGY CORP /DE/,10-K,2017-02-24,edgar/data/65984/0000065984-17-000067.txt,https://www.sec.gov/Archives/edgar/data/65984/000006598417000067/etr-12312016x10k.htm
1197,66740,3M CO,10-K,2017-02-09,edgar/data/66740/0001558370-17-000479.txt,https://www.sec.gov/Archives/edgar/data/66740/000155837017000479/mmm-20161231x10k.htm
1198,6769,APACHE CORP,10-K,2017-02-24,edgar/data/6769/0001673379-17-000004.txt,https://www.sec.gov/Archives/edgar/data/6769/000167337917000004/apa10-k2016.htm
1199,68505,"Motorola Solutions, Inc.",10-K,2017-02-21,edgar/data/68505/0000068505-17-000002.txt,https://www.sec.gov/Archives/edgar/data/68505/000006850517000002/msi201610-k.htm
1200,701985,"L Brands, Inc.",10-K,2017-03-17,edgar/data/701985/0000701985-17-000022.txt,https://www.sec.gov/Archives/edgar/data/701985/000070198517000022/lb128201710k.htm
